ISBN,登録番号,受入日,書名,書名かな,副書名,副書名かな,叢書名等,叢書名等かな,著者名,著者名かな,媒体種別,分類記号,図書記号,巻冊記号,出版社,版年,頁数,判型,本体価格,TRCMARCNO,内容紹介,件名,財源,受入先,価格,保管場所,別置記号,備考,付記事項,注記,除籍フラグ,除籍年月日,除籍番号,除籍理由,不明図書フラグ,不明日,不明理由,未点検回数,帯出禁止フラグ,バーコード印刷済フラグ,背ラベル印刷済フラグ,任意項目
,43560,2009/04/01,くたばれ学校／ある教師の２４年間の叫び,ｸﾀﾊﾞﾚｶﾞｯｺｳ/ｱﾙｷｮｳｼﾉ24ﾈﾝｶﾝﾉｻｹﾋﾞ,,,アスキー新書　０２７,,今村　克彦,ｲﾏﾑﾗｶﾂﾋｺ,,370.4,ｲｶ,,アスキー,2007,199,18,743,,２００６年、新聞各社をはじめマスコミはこぞって「いじめ問題」を取りあげた。いじめを苦にした自殺問題に端を発し、「自殺予告」「校長の自殺」「いじめゼロ報告」、石原都知事の「いじめられる奴は弱い奴だ」発言。ところが２００７年、その騒ぎがうそのように収束に向かった。何かが解決したのだろうか…。はじめに　「いじめブーム」はもう終わりました！？第１章　オレは子どもを信じたい―出席停止でいったい何が解決すると言うのか（教師は『親方日の丸』か！？；秋子が大変や！　ほか）第２章　エアコンの,日本 -- 教育∥ニホン -- キョウイク,寄付,涌井先生2009,,新書書架,,,２００９．０４．０１　涌井先生寄贈,,False,,,,False,,,,False,True,False,,
,43561,2009/04/01,覚悟のすすめ,ｶｸｺﾞﾉｽｽﾒ,,,角川ｏｎｅテーマ２１,,金本　知憲,ｶﾈﾓﾄﾄﾓｱｷ,,783.7,ｶﾄ,,角川書店,2008,182,18,705,,連続フル出場の世界記録を更新し続ける鉄人の「リーダーシップ」「精神力」「強靱な肉体」。第１章　折れない心第２章　努力する心第３章　チームプレー第４章　強靱な肉体第５章　感謝の心第６章　リーダーシップ阪神を強くした金本の、肉体、精神力、リーダーシップに迫る！金本は、いかにしてダメ虎を常勝軍団にし、連続フルイニング出場の世界記録を達成したのか。その肉体、精神力、リーダーシップの秘密に迫る。また、阪神移籍の真の理由など、本書でしか読めない本音も満載！【目次】は,,寄付,涌井先生2009,,新書書架,,,２００９．０４．０１　涌井先生寄贈,,False,,,,False,,,1,False,True,False,,
,43562,2009/04/01,１４歳からの政治／日本の「これから」がわかる教科書,14ｻｲｶﾗﾉｾｲｼﾞ/ﾆﾎﾝﾉ｢ｺﾚｶﾗ｣ｶﾞﾜｶﾙｷｮｳｶｼｮ,,,,,長谷部　尚子,ﾊｾﾍﾞﾋｻｺ,,312.1,ﾊﾋ,,ゴマブックス,2006,239,19,1400,,中学生の女の子が政治家たちにホンネで取材！！だれに「日本の未来」をまかせたらいいですか？「政治家は毎日どんなことを考え、何をしているの？」そんな疑問に８人の政治家が答えます。官房長官のお仕事（安倍晋三）大臣のお仕事（小池百合子）党首のお仕事（福島みずほ）衆議院議員のお仕事（小沢鋭仁）参議院議員のお仕事（世耕弘成）委員会のお仕事（原口一博）知恵のお仕事（松沢成文（神奈川県知事））市長のお仕事（中田宏（横浜市長））著者紹介長谷部尚子［ハセベヒサコ］１,,寄付,涌井先生2009,,,,,２００９．０４．０１　涌井先生寄贈,,False,,,,False,,,,False,True,False,,
,43563,2009/04/01,カンブリア宮殿　村上龍×経済人,ｶﾝﾌﾞﾘｱｷｭｳﾃﾞﾝﾑﾗｶﾐﾘｭｳﾊﾞﾂｹｲｻﾞｲｼﾞﾝ,,,,,村上　龍,ﾑﾗｶﾐﾘｭｳ,,335.1,ﾑﾘ,,日本経済新聞社,2008,356,19,1600,,この人たちと働きたい。「良い経営者」２２人の資質と人間的魅力に迫る。１　進化を止めないメジャー企業（張富士夫―トヨタ自動車会長；福井威夫―本田技研工業社長；大橋洋治―全日本空輸会長；後藤卓也―花王取締役会会長）２　能力・人格・経営（古田英明―縄文アソシエイツ代表取締役；堀威夫―ホリプロ取締役ファウンダー）３　技術を支える頭脳と精神（岡野雅行―岡野工業代表社員；松浦元男―樹研工業社長）４　陽気で真摯な挑戦者たち（笠原健治―ミクシィ社長＆近藤淳也―はてな社長；伊藤信吾―男前豆腐店社,経営者 -- 日本∥ケイエイシャ -- ニホン,寄付,涌井先生2009,,,,,２００９．０４．０１　涌井先生寄贈,,False,,,,False,,,,False,True,False,,
,43564,2009/04/01,齋藤孝のざっくり！日本史／「すごいよ！ポイント」で本当の面白さが見えてくる,ｻｲﾄｳﾀｶｼﾉｻﾞｯｸﾘ!ﾆﾎﾝｼ/｢ｽｺﾞｲﾖ!ﾎﾟｲﾝﾄ｣ﾃﾞﾎﾝﾄｳﾉｵﾓｼﾛｻｶﾞﾐｴﾃｸﾙ,,,,,齋藤　孝,ｻｲﾄｳﾀｶｼ,,210.1,ｻﾀ,,祥伝社,2008,300,19,1500,,つながりがわかれば、こんなに面白い。「文脈力」で読みとく日本の歴史。プロローグ　いまこそ、日本史を学びなおす第１章　「廃藩置県」と明治維新―なぜ前代未聞の大革命が成功したのか第２章　「万葉仮名」と日本語―和洋中の粋を集めて発展した「世界言語」第３章　「大化の改新」と藤原氏―ナンバー２が支配する日本統治の始まり第４章　「仏教伝来」と日本人の精神―「ゆるさ」が可能にした神道との融合と禅の進化第５章　「三世一身の法」とバブル崩壊―日本の土地所有制度はどこから始まったか第６,日本 -- 歴史∥ニホン -- レキシ,寄付,涌井先生2009,,,,,２００９．０４．０１　涌井先生寄贈,,False,,,,False,,,,False,True,False,,
,43565,2009/04/01,井沢式「日本史入門」講座⑤／朝幕併存と天皇教の巻,ｲｻﾞﾜｼｷ｢ﾆﾎﾝｼﾆｭｳﾓﾝ｣ｺｳｻﾞ5/ﾁｮｳﾏｸﾍｲｿﾞﾝﾄﾃﾝﾉｳｷｮｳﾉﾏｷ,,,,,井沢　元彦,ｲｻﾞﾜﾓﾄﾋｺ,,210.04,ｲﾓ,,徳間書店,2008,324,20,1500,,頼朝はなぜ天皇を殺さなかったのか！？前権力者の血筋は根絶やしが世界の常識、朝幕併存の異常を支えた「天皇教」の謎を解かない「日本史」は無意味である！頼朝が固執した「征夷大将軍」だけが持つ権利とは…「鎌倉幕府」誕生の本当の意味、成立がわからなければ、明治維新の「大政奉還」も理解できない！天皇家は特別な家系であり、神聖不可侵のものであって、それを絶やしてはならないという「信仰」が、なぜこの日本にはあるのか。序章　日本の歴史は怨霊の歴史第１章　源頼朝、その数奇な運命第２章　軍神、源義経の活躍,日本 -- 歴史∥ニホン -- レキシ  天皇制∥テンノウセイ    →君主政治∥クンシュセイジ      →天皇∥テンノウ  源頼朝 (1147-1199)∥ミナモトヨリトモ,寄付,涌井先生2009,,,,,２００９．０４．０１　涌井先生寄贈,,False,,,,False,,,,False,True,False,,
,43566,2009/04/01,アホは神の望み,ｱﾎﾊｶﾐﾉﾉｿﾞﾐ,,,,,村上　和雄,ﾑﾗｶﾐｶｽﾞｵ,,159,ﾑｶ,,サンマーク出版,2008,204,20,1600,,素直で正直、器が大きなアホであれ！バイオテクノロジーの世界的権威がたどり着いた究極の知恵。プロローグ　アホが世界を変える第１章　鈍いけれど深い生き方第２章　陽気であきらめない心第３章　愚か者こそ幸せ者第４章　くさらない、おごらない、屈しない第５章　アホは神の望み著者紹介村上和雄［ムラカミカズオ］１９３６年生まれ。筑波大学名誉教授。６３年、京都大学大学院農学研究科農芸化学専攻、博士課程修了。同年、米国オレゴン医科大学研究員。７６年、米国バンダビルト大学医学,,寄付,涌井先生2009,,,,,２００９．０４．０１　涌井先生寄贈,,False,,,,False,,,,False,True,False,,
,43567,2009/04/01,日本語の逆襲,ﾆﾎﾝｺﾞﾉｷﾞｬｸｼｭｳ,,,,,鈴木　輝一郎／画・ザビエル山田,ｽｽﾞｷｷｲﾁﾛｳ/ｶﾞ･ｻﾞﾋﾞｴﾙﾔﾏﾀﾞ,,814.4,ｽｷ,,小学館,2007,335,19,1500,,小説界の異才と四コマ漫画の奇才・ザビエル山田がタッグを組んだ中日新聞人気連載コラムが一冊本に！四文字熟語、ことわざ、外来語―“おや、まあ、へえ”の日本語うんちく満載本。四文字熟語の逆襲（危機一髪；贅沢三昧；明窓浄几　ほか）ことワザの裏ワザ（豚に真珠；いずれ菖蒲か杜若；憎まれっ子世にはばかる　ほか）外来語でＧＯ！（フグ；ボーナス；イクラ　ほか）著者紹介鈴木輝一郎［スズキキイチロウ］１９６０年岐阜県生まれ。日本大学卒業後、テレビゲーム器販売会社営業を経て、実家の鈴木コテ,故事熟語∥コジジュクゴ      →熟語∥ジュクゴ      →諺∥コトワザ  諺 -- 日本∥コトワザ -- ニホン  日本語 -- 外来語∥ニホンゴ -- ガイライゴ,寄付,涌井先生2009,,,,,２００９．０４．０１　涌井先生寄贈,,False,,,,False,,,,False,True,False,,
,43568,2009/04/01,罪びと,ﾂﾐﾋﾞﾄ,,,,,高任　和夫,ﾀｶﾄｳｶｽﾞｵ,,913.6,ﾀｶ,,光文社,2008,269,20,1700,,男の嘘の原因は―「うそ」生きるのに悩む経営者―「社長の再生」同期の友の急死―「親友の娘」突然失踪した男―「罪びと」また解決役を引き受けて―「濡れ衣」初老期の寂寥感―「幸運の黒猫」働き続けてきた中年から初老に入る男たちの、かたちに出来ない心の鬱屈を、そして身近にありながら気づいていない生きるよろこびを描く作品集。著者紹介高任和夫［タカトウカズオ］１９４６年、宮城県生まれ。東北大学法学部を卒業後、三井物産に入社。審査畑を歩み続けるかたわら、作品を発表。’９６年末、依願退職。以後、執筆に,,寄付,涌井先生2009,,,,,２００９．０４．０１　涌井先生寄贈,,False,,,,False,,,,False,True,False,,
,43569,2009/04/01,貧困の現場,ﾋﾝｺﾝﾉｹﾞﾝﾊﾞ,,,,,東海林　智,ﾄｳｶｲﾘﾝｻﾄｼ,,366.02,ﾄｻ,,毎日新聞社,2008,217,20,1500,,なぜ貧困は拡大してゆくのか？なぜ労働の尊厳は奪われたのか？なぜ人間らしい生活が蹂躙されているのか？１０年にわたって貧困の現場を伝えてきた新聞記者が、丹念な取材と緻密な分析、そしてこみ上げる思いによって書き上げた入魂のルポルタージュ。貧困の現場から、悲しみと怒りを込めて―序にかえて自分の境遇は自分だけのせいではない―貧困に陥った派遣労働者が労働組合と出会うまで酷使され、命まで削られて―「名ばかり店長」の過酷な労働現場不当解雇と闘う母子―仕事をすることの誇りを取り戻すために過労うつ,労働問題 -- 日本∥ロウドウモンダイ -- ニホン  貧困 -- 日本∥ヒンコン -- ニホン,寄付,涌井先生2009,,,,,２００９．０４．０１　涌井先生寄贈,,False,,,,False,,,,False,True,False,,
